gen;phen1;phen3
Gen1;3;85
Gen1;3;82
Gen1;3;83
Gen1;3;71
Gen10;3;82
Gen10;6;77
Gen10;3;79
Gen10;3;81
Gen11;3;77
Gen11;3;85
Gen11;3;83
Gen11;3;83
Gen12;3;82
Gen12;3;75
Gen12;3;82
Gen12;3;80
Gen13;7;78
Gen13;3;83
Gen13;3;83
Gen13;3;77
Gen14;3;81
Gen14;3;76
Gen14;3;87
Gen14;3;79
Gen15;3;81
Gen15;5;84
Gen15;3;89
Gen15;3;84
Gen16;3;84
Gen16;3;78
Gen16;3;81
Gen16;3;79
Gen17;3;81
Gen17;3;82
Gen17;3;88
Gen17;3;75
Gen18;3;83
Gen18;7;80
Gen18;3;89
Gen18;3;82
Gen19;3;78
Gen19;3;91
Gen19;3;83
Gen19;3;77
Gen2;3;76
Gen2;3;81
Gen2;3;85
Gen2;3;87
Gen20;8;79
