local	tempo	block	gen	phen1	phen2	phen3
1	1	1	Gen1	170,56	5,03	2,61
1	1	1	Gen2	176,71	5,01	0,34
1	1	1	Gen3	158,98	7,14	3,39
1	1	1	Gen4	131,57	5,08	3,12
1	1	1	Gen5	165,36	5,11	4,11
1	1	2	Gen1	146,07	4,97	0,31
1	1	2	Gen2	130,86	6,07	3,02
1	1	2	Gen3	15,81	0,05	3,13
1	1	2	Gen4	145,93	6,98	2,87
1	1	2	Gen5	160,66	6,09	2,74
1	2	1	Gen1	149,02	0,53	3,79
1	2	1	Gen2	148,62	5,37	3,36
1	2	1	Gen3	165,93	5,13	3,61
1	2	1	Gen4	166,69	5,07	4,91
1	2	1	Gen5	13,12	6,04	0,03
1	2	2	Gen1	159,37	0,06	4,47
1	2	2	Gen2	163,18	5,03	2,27
1	2	2	Gen3	149,97	5,96	3,73
1	2	2	Gen4	157,56	6,02	3,95
1	2	2	Gen5	152,05	5,02	2,94
1	3	1	Gen1	152,04	6,07	3,68
1	3	1	Gen2	15,68	5,18	3,48
1	3	1	Gen3	163,77	5,16	4,43
1	3	1	Gen4	152,19	4,92	0,38
1	3	1	Gen5	148,68	4,99	0,29
1	3	2	Gen1	15,23	5,12	3,68
1	3	2	Gen2	14,13	6,05	3,46
1	3	2	Gen3	13,72	4,92	0,34
1	3	2	Gen4	153,85	5,11	3,07
1	3	2	Gen5	14,25	5,07	3,7
